Name,Site,Schema
compilerOptions,"The set of compiler options for your project","Instructs the TypeScript compiler how to compile .ts files"
allowJs,"Let TS include .JS files in imports","Allow javascript files to be compiled."
allowSyntheticDefaultImports,"Allow 'import x from y' when a module doesn't have a default export","Allow default imports from modules with no default export. This does not affect code emit, just typechecking."
allowUmdGlobalAccess,"Assume UMD imports are all globally available","Allow accessing UMD globals from modules."
allowUnreachableCode,"Error when code will never be called","Do not report errors on unreachable code."
allowUnusedLabels,"Error when accidentally creating a label","Do not report errors on unused labels."
alwaysStrict,"Ensure 'use strict' is always emitted","Parse in strict mode and emit 'use strict' for each source file. Requires TypeScript version 2.1 or later."
assumeChangesOnlyAffectDirectDependencies,"A drastically faster, but occasionally inaccurate watch mode option.","Have recompiles in '--incremental' and '--watch' assume that changes within a file will only affect files directly depending on it."
baseUrl,"Set a baseurl for relative module names","Base directory to resolve non-relative module names."
charset,"Manually set the text encoding for reading files","The character set of the input files."
checkJs,"Run the type checker on .js files in your project","Report errors in .js files. Requires TypeScript version 2.3 or later."
composite,"Used to create multiple build projects","Enables building for project references."
declaration,"Emit d.ts files for referenced files in the project","Generates corresponding d.ts files."
declarationDir,"Set the root directory for d.ts files to go","Specify output directory for generated declaration files. Requires TypeScript version 2.0 or later."
declarationMap,"Create sourcemaps for d.ts files","Generates a sourcemap for each corresponding '.d.ts' file. Requires TypeScript version 2.9 or later."
diagnostics,"Output additional information after a compile","Show diagnostic information."
disableReferencedProjectLoad,"Reduces the number of projects loaded automatically by TypeScript","N/A"
disableSizeLimit,"Remove the memory cap on the TypeScript language server","Disable size limit for JavaScript project. Requires TypeScript version 2.0 or later."
disableSolutionSearching," Opt a project out of multi-project reference checking","Disable solution searching for this project."
disableSourceOfProjectReferenceRedirect,"Use d.ts files as the source of truth for tooling between composite project boundries","Disable use of source files instead of declaration files from referenced projects."
downlevelIteration,"Emit more compliant, but verbose JavaScript for iterating objects","Provide full support for iterables in 'for-of', spread, and destructuring when targeting 'ES5' or 'ES3'. Requires TypeScript version 2.3 or later."
emitBOM,"Include a byte order mark to output files","Emit a UTF-8 Byte Order Mark (BOM) in the beginning of output files."
emitDeclarationOnly,"Only output d.ts files and not .js files","Only emit '.d.ts' declaration files."
emitDecoratorMetadata,"Adds additional type metadata to decorators in emitted code","Emit design-type metadata for decorated declarations in source."
esModuleInterop,"Emit additional JS to ease support for importing commonjs modules","Emit '__importStar' and '__importDefault' helpers for runtime babel ecosystem compatibility and enable '--allowSyntheticDefaultImports' for typesystem compatibility. Requires TypeScript version 2.7 or later."
