"name","spm_support"
"Representor",TRUE
"URITemplate",TRUE
"Siren",TRUE
"SwiftyJSON",TRUE
"Moya",TRUE
"CryptoSwift",TRUE
"KeychainAccess",TRUE
"NSManagedObject-HYPPropertyMapper",TRUE
"ProtocolBuffers-Swift",TRUE
"OAuthSwift",TRUE
"EasyMapping",TRUE
"ObjectMapper",TRUE
"Runes",TRUE
"Alamofire",TRUE
"Timepiece",TRUE
"SWXMLHash",TRUE
"PromiseKit",TRUE
"Nimble",TRUE
"PrettyColors",TRUE
"DATAStack",TRUE
"RestGoatee",TRUE
"SwiftHTTP",TRUE
"JT3DScrollView",TRUE
"Bond",TRUE
"Player",TRUE
"RGLockbox",TRUE
"Quick",TRUE
"APIKit",TRUE
"HTTPStatusCodes",TRUE
"BrightFutures",TRUE
"CameraManager",TRUE
"QRCodeReader.swift",TRUE
"Argo",TRUE
"Cent",TRUE
"DateTools",TRUE
"Dollar",TRUE
"FDSoundActivatedRecorder",TRUE
"FDTake",TRUE
"FDWaveformView",TRUE
"HTMLReader",TRUE
"HexColors",TRUE
"IHKeyboardAvoiding",TRUE
"JSONJoy-Swift",TRUE
"LayoutKit",TRUE
"M13Checkbox",TRUE
"MarqueeLabel",TRUE
"NSString+RemoveEmoji",TRUE
"PathKit",TRUE
"Promissum",TRUE
"RNCryptor",TRUE
"SegueingInfo",TRUE
"Starscream",TRUE
"Stencil",TRUE
"SwiftState",TRUE
"SwiftyUserDefaults",TRUE
"TDBadgedCell",TRUE
"Transporter",TRUE
"Twinkle",TRUE
"Version",TRUE
"WFColorCode",TRUE
"WebLinking",TRUE
"JSONSchema",TRUE
"Buckets",TRUE
"Socket.IO-Client-Swift",TRUE
"JSQDataSourcesKit",TRUE
"JSQCoreDataKit",TRUE
"JSQNotificationObserverKit",TRUE
"MessagePack.swift",TRUE
"Nest",TRUE
"p2.OAuth2",TRUE
"Inquiline",TRUE
"SMJobKit",TRUE
"AlecrimCoreData",TRUE
"JSONWebToken",TRUE
"FHIR",TRUE
"Networking",TRUE
"AlgoliaSearch-Client-Swift",TRUE
"RxCocoa",TRUE
"RxSwift",TRUE
"Emoji-swift",TRUE
"PhotoSlider",TRUE
"Kingfisher",TRUE
"DATAFilter",TRUE
"XCGLogger",TRUE
"docopt",TRUE
"JTTableViewController",TRUE
"FutureKit",TRUE
"Result",TRUE
"NSEntityDescription-SYNCPrimaryKey",TRUE
"SnapKit",TRUE
"Evergreen",TRUE
"AERecord",TRUE
"AEXML",TRUE
"SwiftAnimations",TRUE
"JTMaterialTransition",TRUE
"NetUtils",TRUE
"SnappingStepper",TRUE
"CSwiftV",TRUE
"FontBlaster",TRUE
"SwiftDate",TRUE
"EntypoSymbol",TRUE
"JsonSwiftson",TRUE
"MaterialDesignSymbol",TRUE
"SwiftyTimer",TRUE
"GRMustache.swift",TRUE
"Himotoki",TRUE
"NDAudioSuite",TRUE
"SwiftWebSocket",TRUE
"Swiftz",TRUE
"SigmaSwiftStatistics",TRUE
"CoreStore",TRUE
"Genome",TRUE
"SayKit",TRUE
"DynamicColor",TRUE
"GCDKit",TRUE
"ClosureKit",TRUE
"KeychainSwift",TRUE
"JSQWebViewController",TRUE
"DATAObjectIDs",TRUE
"Turnstile",TRUE
"MaterialDesignColor",TRUE
"Centipede",TRUE
"SwiftPriorityQueue",TRUE
"SwiftGraph",TRUE
"Arithmosophi",TRUE
"Interstellar",TRUE
"IOStickyHeader",TRUE
"BFKit-Swift",TRUE
"Safe",TRUE
"LogKit",TRUE
"HISwiftExtensions",TRUE
"RestGoatee-Core",TRUE
"GRDB.swift",TRUE
"PusherSwift",TRUE
"Curry",TRUE
"AEAccordion",TRUE
